target,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
1,1.23768026400037E+018,0.196995767681855,-7.15485101037894,8100,301,4,321,STAR,17.54371,15.19887,14.08868,14.2291,13.43389
3,1.23767862010243E+018,0.610106004099578,3.35190851253775,7717,301,6,333,GALAXY,15.15408,14.24096,13.68492,13.38434,13.15861
4,1.23766323445282E+018,0.875023807461503,27.6613930604194,4135,301,4,287,STAR,19.88804,18.39197,17.7756,17.54968,17.4511
6,1.23768024681506E+018,1.57061161414896,20.2015612184472,8096,301,4,238,STAR,23.37009,22.96518,21.35581,20.11495,19.30222
7,1.23765719036933E+018,2.29439829034573,-0.612580339152363,2728,301,2,428,STAR,21.90162,20.74569,19.89404,19.60372,19.42506
8,1.23767890785744E+018,2.62459248145825,10.9780990101851,7784,301,6,214,STAR,22.75845,20.73719,19.93043,19.51888,19.30315
10,1.23766722554436E+018,5.281495440981,-19.1676555616553,5064,301,6,183,UNKNOWN,-9999,-9999,-9999,-9999,-9999
16,1.23767886008536E+018,7.30710251598407,13.2677775877841,7773,301,5,358,STAR,15.47881,15.2626,15.34094,14.72382,14.74321
20,1.23767932392355E+018,8.63284308601453,-4.40934443889198,7881,301,5,79,STAR,17.01608,15.78479,15.31476,15.14847,15.08584
25,1.23768007017149E+018,10.2271747977425,24.7497406977634,8055,301,3,39,STAR,17.82391,16.59684,16.08834,15.90354,15.80832
28,1.23767279504228E+018,10.7256043760029,-23.53805514354,6361,301,4,169,STAR,22.627,22.56036,21.23435,20.4244,19.92077
29,1.23768033325489E+018,10.8455612798887,30.3310643469386,8116,301,5,293,STAR,22.3099,19.74187,18.36274,17.6868,17.28773
30,1.23768028545529E+018,10.7121183492578,30.2771968799501,8105,301,4,17,STAR,22.49029,22.30632,21.39793,21.01553,20.93617
33,1.23768031069687E+018,12.1859839922608,31.9659718486063,8111,301,3,149,STAR,24.53499,25.11437,24.80202,19.84973,19.0373
34,1.23768033218193E+018,12.9101282532251,29.484500438517,8116,301,3,305,STAR,17.00113,15.63431,15.14427,14.99088,14.93431
36,1.23767916876477E+018,12.9732040112942,17.4218325164825,7845,301,4,32,STAR,26.03248,22.60051,21.24369,19.83711,19.05685
39,1.23768007124661E+018,13.7178990740077,25.4408359310532,8055,301,5,60,STAR,22.93079,20.6876,19.20908,18.31958,17.79443
43,1.23768031069792E+018,14.9860268952768,31.8253159916061,8111,301,3,165,STAR,19.70922,17.66128,16.85627,16.56926,16.41496
45,1.23767943398824E+018,15.2647541817152,-3.14843157904323,7907,301,2,173,STAR,23.73776,23.03751,22.24223,21.46338,21.21143
53,1.23766976601378E+018,16.6635076880922,6.63888033048839,5656,301,2,126,STAR,19.7161,18.77169,18.48671,18.36829,18.3733
59,1.23766621568533E+018,18.4164133545487,25.2895040269884,4829,301,5,109,STAR,25.54875,22.73288,21.25893,20.25076,19.70035
64,1.23768031016262E+018,19.0945220248968,31.0460297233378,8111,301,2,189,STAR,19.33065,17.18997,16.34262,16.05249,15.91492
71,1.23766621461565E+018,20.7696438883792,34.3714575625126,4829,301,3,171,STAR,18.09685,16.94894,16.54619,16.39279,16.33075
74,1.23766621407851E+018,21.13303244199,33.7744430942374,4829,301,2,167,STAR,29.61581,31.198,31.0249,16.52461,15.85611
75,1.23767880906788E+018,21.5997208520085,35.1151974812201,7761,301,6,133,STAR,25.57626,21.12304,19.51653,18.58684,18.0731
76,1.23764992111595E+018,21.5228819889195,15.3786733994297,1035,301,6,104,STAR,23.99351,22.19332,20.51645,19.0005,18.21075
77,1.23767946028987E+018,21.9007473816357,19.1713243055932,7913,301,3,96,STAR,24.06421,22.76815,21.28456,20.00567,19.38051
85,1.2376793233933E+018,23.7484353111187,-4.53029698697823,7881,301,4,180,STAR,22.27745,20.30598,19.55926,19.26206,19.00957
88,1.237680333797E+018,24.6217901399005,29.4525021488177,8116,301,6,373,STAR,22.38317,19.91653,18.86534,18.46653,18.25166
96,1.23767888798509E+018,28.1973383770773,-3.46895878272433,7780,301,1,90,STAR,21.74675,20.72171,20.37663,20.26841,20.30192
98,1.23768010077641E+018,28.854131687456,2.51738087718927,8062,301,4,89,STAR,23.63391,21.59913,20.26488,19.51563,19.26725
101,1.23768007393555E+018,30.1507507251484,24.4697450046259,8056,301,2,130,STAR,22.66559,20.49512,19.2764,18.80269,18.51672
102,1.23767934002987E+018,30.2703763241392,-6.8295160425639,7885,301,3,82,STAR,18.2857,17.37589,17.09672,17.01499,17.0391
103,1.23767044622726E+018,30.6552008253098,68.3431399098493,5814,301,5,96,STAR,23.78638,22.10526,20.41257,18.74075,17.85984
104,1.23767044622726E+018,30.6066740912919,68.4061842657462,5814,301,5,96,STAR,24.86338,22.27246,20.86184,19.98462,19.51683
106,1.23766378367432E+018,31.56939201487,-0.268995208638117,4263,301,3,326,STAR,25.01732,24.32467,22.76659,21.39478,20.65233
107,1.23768031499013E+018,31.7573040548772,29.5016184737046,8112,301,3,123,STAR,23.92706,21.75076,20.26086,19.54283,19.19084
112,1.23765289915141E+018,32.3685895370059,-10.1418983959912,1729,301,1,295,STAR,24.2751,20.96814,19.63792,18.21139,17.4543
116,1.23766378313843E+018,33.6930009253977,-0.78455131371095,4263,301,2,341,STAR,23.55628,23.17847,21.72342,20.48254,19.85807
120,1.23767044676656E+018,34.4062754171284,73.8096923379266,5814,301,6,133,STAR,22.28569,20.77055,19.47694,18.84913,18.41809
122,1.23768024948939E+018,35.602404540329,25.1489582428322,8097,301,1,85,STAR,26.01202,22.86178,21.4305,19.92677,18.98251
123,1.23766111701743E+018,35.8686720260388,45.8139029429405,3642,301,4,35,STAR,24.70232,20.97722,19.57787,18.9737,18.69366
128,1.23767096108601E+018,36.7603477436107,23.7524502921165,5934,301,4,89,STAR,24.16503,22.31412,20.85872,19.73469,19.11469
129,1.23767889443226E+018,37.0520905838208,31.3311501675605,7781,301,5,162,STAR,24.11622,22.01911,20.52448,19.74974,19.39575
130,1.23765350096968E+018,37.5014487604003,-9.04274508932138,1869,301,2,81,STAR,21.52864,20.60451,20.35604,20.32095,20.4807
132,1.23767858304359E+018,38.1881711306183,20.2709874021308,7709,301,1,108,STAR,18.78451,17.08426,16.40855,16.14639,16.02802
134,1.23765350097021E+018,38.6493929637809,-8.79886246580505,1869,301,2,89,STAR,17.62215,16.68618,16.31684,16.19404,16.18085
140,1.23765437768113E+018,40.2899861036732,-8.22462218987361,2073,301,3,100,STAR,22.6199,19.31911,18.61035,24.3618,18.17821
